n,k,is_probable_prime,time_ns,modexp_count,is_carmichael,bits,rounds,time_ms,ground_truth,probable_prime,correct,false_positive
3694738397,1,0,9445,2,False,32,1,0.009445,False,False,True,False
2656470979,1,0,9377,1,False,32,1,0.009377,False,False,True,False
2149244783,1,0,8641,1,False,32,1,0.008641,False,False,True,False
2384663647,1,0,8629,1,False,32,1,0.008629,False,False,True,False
13735796002281676999,1,0,16422,1,False,64,1,0.016422,False,False,True,False
14310260176365416025,1,0,16885,3,False,64,1,0.016885,False,False,True,False
14256331602474582805,1,0,16023,2,False,64,1,0.016023,False,False,True,False
17490784102544701661,1,0,13852,2,False,64,1,0.013852,False,False,True,False
14481975336352111487,1,0,14330,1,False,64,1,0.01433,False,False,True,False
16194581791458925085,1,0,14468,2,False,64,1,0.014468,False,False,True,False
13388369873121521961,1,0,15613,3,False,64,1,0.015613,False,False,True,False
10274549014183291387,1,0,13936,1,False,64,1,0.013936,False,False,True,False
14910571055952252123,1,0,13070,1,False,64,1,0.01307,False,False,True,False
11955967782054583207,1,0,16284,1,False,64,1,0.016284,False,False,True,False
11600189632129790437,1,0,14947,2,False,64,1,0.014947,False,False,True,False
10186417792844870081,1,0,15258,6,False,64,1,0.015258,False,False,True,False
11715229317521267233,1,0,15511,5,False,64,1,0.015511,False,False,True,False
17147507823226193959,1,0,14489,1,False,64,1,0.014489,False,False,True,False
14018998443484930791,1,0,14691,1,False,64,1,0.014691,False,False,True,False
16915863373473983449,1,0,15378,3,False,64,1,0.015378,False,False,True,False
15197665038469956811,1,0,13983,1,False,64,1,0.013983,False,False,True,False
13766810747009683013,1,0,14661,2,False,64,1,0.014661,False,False,True,False
11648659780512239335,1,0,15315,1,False,64,1,0.015315,False,False,True,False
14623176898799790805,1,0,13946,2,False,64,1,0.013946,False,False,True,False
56517,2,0,16598,2,False,16,2,0.016598,False,False,True,False
59799,2,0,10540,1,False,16,2,0.01054,False,False,True,False
41121,2,0,8759,5,False,16,2,0.008759,False,False,True,False
62555,2,0,6977,1,False,16,2,0.006977,False,False,True,False
56757,2,0,7750,2,False,16,2,0.00775,False,False,True,False
33643,2,0,6380,1,False,16,2,0.00638,False,False,True,False
45021,2,0,6420,2,False,16,2,0.00642,False,False,True,False
58365,2,0,7040,2,False,16,2,0.00704,False,False,True,False
51661,2,0,6247,2,False,16,2,0.006247,False,False,True,False
48567,2,0,6299,1,False,16,2,0.006299,False,False,True,False
36751,2,0,6816,1,False,16,2,0.006816,False,False,True,False
47477,2,0,6381,2,False,16,2,0.006381,False,False,True,False
56471,2,0,6165,1,False,16,2,0.006165,False,False,True,False
64911,2,0,6252,1,False,16,2,0.006252,False,False,True,False
37059,2,0,5995,1,False,16,2,0.005995,False,False,True,False
62845,2,0,6371,2,False,16,2,0.006371,False,False,True,False
63303,2,0,6225,1,False,16,2,0.006225,False,False,True,False
