category,filename,n,median_time,mean_time,std_time,median_comparisons,median_swaps,correctness_rate
uniform,uniform-input-1450000-1-float.txt,956041.0,323.0,323.0,,24586485.0,12657107.0,1.0
uniform,uniform-input-1450000-2-float.txt,1075799.0,316.0,316.0,,26810147.0,12717954.0,1.0
uniform,uniform-input-1450000-3-float.txt,1159345.0,442.0,442.0,,31065162.0,13084831.0,1.0
uniform,uniform-input-1460000-1-float.txt,955992.0,320.0,320.0,,24440817.0,11849095.0,1.0
uniform,uniform-input-1460000-2-float.txt,1075857.0,376.0,376.0,,27018308.0,12954285.0,1.0
uniform,uniform-input-1460000-3-float.txt,1159271.0,420.0,420.0,,32231231.0,13315565.0,1.0
uniform,uniform-input-1470000-1-float.txt,956017.0,302.0,302.0,,24593228.0,11754931.0,1.0
uniform,uniform-input-1470000-2-float.txt,1075839.0,390.0,390.0,,26462828.0,12778028.0,1.0
uniform,uniform-input-1470000-3-float.txt,1159294.0,375.0,375.0,,31908469.0,13611560.0,1.0
uniform,uniform-input-1480000-1-float.txt,955959.0,281.0,281.0,,23993565.0,11298544.0,1.0
uniform,uniform-input-1480000-2-float.txt,1075839.0,365.0,365.0,,26494271.0,12894024.0,1.0
uniform,uniform-input-1480000-3-float.txt,1159304.0,390.0,390.0,,32013444.0,13754694.0,1.0
uniform,uniform-input-1490000-1-float.txt,956024.0,397.0,397.0,,23509126.0,12378079.0,1.0
uniform,uniform-input-1490000-2-float.txt,1075809.0,337.0,337.0,,26607208.0,14519405.0,1.0
uniform,uniform-input-1490000-3-float.txt,1159298.0,368.0,368.0,,32695069.0,13369779.0,1.0
uniform,uniform-input-15000-1-float.txt,15000.0,3.0,3.0,,249032.0,130513.0,1.0
uniform,uniform-input-15000-2-float.txt,15000.0,2.0,2.0,,246990.0,134428.0,1.0
uniform,uniform-input-15000-3-float.txt,15000.0,4.0,4.0,,240269.0,116834.0,1.0
uniform,uniform-input-150000-1-float.txt,150000.0,31.0,31.0,,3158113.0,1475271.0,1.0
uniform,uniform-input-150000-2-float.txt,150000.0,29.0,29.0,,3084757.0,1502331.0,1.0
uniform,uniform-input-150000-3-float.txt,150000.0,37.0,37.0,,3188387.0,1464713.0,1.0
uniform,uniform-input-1500000-1-float.txt,956041.0,355.0,355.0,,23447486.0,12427500.0,1.0
uniform,uniform-input-1500000-2-float.txt,1075858.0,308.0,308.0,,28573259.0,13308753.0,1.0
uniform,uniform-input-1500000-3-float.txt,1159300.0,380.0,380.0,,32378198.0,13462103.0,1.0
uniform,uniform-input-1510000-1-float.txt,955961.0,368.0,368.0,,24095757.0,11860057.0,1.0
uniform,uniform-input-1510000-2-float.txt,1075842.0,361.0,361.0,,28304134.0,14756307.0,1.0
uniform,uniform-input-1510000-3-float.txt,1159335.0,364.0,364.0,,31630942.0,12806188.0,1.0
uniform,uniform-input-1520000-1-float.txt,956038.0,287.0,287.0,,23738905.0,11418792.0,1.0
uniform,uniform-input-1520000-2-float.txt,1075840.0,321.0,321.0,,26630375.0,12889448.0,1.0
uniform,uniform-input-1520000-3-float.txt,1159315.0,452.0,452.0,,33136274.0,13786883.0,1.0
uniform,uniform-input-1530000-1-float.txt,956005.0,292.0,292.0,,23244283.0,11598584.0,1.0
uniform,uniform-input-1530000-2-float.txt,1075848.0,382.0,382.0,,27333832.0,14266584.0,1.0
uniform,uniform-input-1530000-3-float.txt,1159296.0,383.0,383.0,,32249947.0,14218444.0,1.0
uniform,uniform-input-1540000-1-float.txt,956031.0,325.0,325.0,,23086478.0,11669228.0,1.0
uniform,uniform-input-1540000-2-float.txt,1075828.0,392.0,392.0,,26258938.0,13365866.0,1.0
uniform,uniform-input-1540000-3-float.txt,1159330.0,374.0,374.0,,31823768.0,13416342.0,1.0
uniform,uniform-input-155000-1-float.txt,155000.0,37.0,37.0,,3129426.0,1526893.0,1.0
uniform,uniform-input-155000-2-float.txt,155000.0,37.0,37.0,,3231357.0,1638320.0,1.0
uniform,uniform-input-155000-3-float.txt,155000.0,39.0,39.0,,3321753.0,1625919.0,1.0
uniform,uniform-input-1550000-1-float.txt,956018.0,373.0,373.0,,23353670.0,11182943.0,1.0
uniform,uniform-input-1550000-2-float.txt,1075823.0,424.0,424.0,,27611081.0,12995486.0,1.0
uniform,uniform-input-1550000-3-float.txt,1159332.0,379.0,379.0,,32566747.0,12959499.0,1.0
uniform,uniform-input-1560000-1-float.txt,956002.0,294.0,294.0,,23490844.0,11213695.0,1.0
uniform,uniform-input-1560000-2-float.txt,1075829.0,307.0,307.0,,26511964.0,12521793.0,1.0
uniform,uniform-input-1560000-3-float.txt,1159267.0,358.0,358.0,,30992663.0,13035773.0,1.0
uniform,uniform-input-1570000-1-float.txt,955995.0,286.0,286.0,,22403384.0,11315318.0,1.0
uniform,uniform-input-1570000-2-float.txt,1056911.0,350.0,350.0,,25730009.0,13187553.0,1.0
uniform,uniform-input-1570000-3-float.txt,1159308.0,361.0,361.0,,31871510.0,12249573.0,1.0
uniform,uniform-input-1580000-1-float.txt,956026.0,298.0,298.0,,23331421.0,11883468.0,1.0
uniform,uniform-input-1580000-2-float.txt,1075842.0,413.0,413.0,,27127970.0,13275577.0,1.0
uniform,uniform-input-1580000-3-float.txt,1159307.0,386.0,386.0,,31584570.0,13176573.0,1.0
uniform,uniform-input-1590000-1-float.txt,956005.0,284.0,284.0,,23606714.0,11710577.0,1.0
uniform,uniform-input-1590000-2-float.txt,1056984.0,292.0,292.0,,26141828.0,13063031.0,1.0
uniform,uniform-input-1590000-3-float.txt,1159323.0,384.0,384.0,,31629013.0,12957461.0,1.0
